水道料金・下水道使用料早見表（２か月分）,,,
,,,
,,,
使用水量,水道料金,下水道使用料,合計(税込)
(㎡),(円),(円),(円)
0,"1,540",858,"2,398"
1,"1,588",902,"2,490"
2,"1,638",948,"2,586"
3,"1,688",992,"2,680"
4,"1,738","1,038","2,776"
5,"1,786","1,082","2,868"
6,"1,836","1,128","2,964"
7,"1,886","1,172","3,058"
8,"1,936","1,218","3,154"
9,"1,984","1,262","3,246"
10,"2,034","1,308","3,342"
11,"2,084","1,354","3,438"
12,"2,134","1,398","3,532"
13,"2,182","1,444","3,626"
14,"2,232","1,488","3,720"
15,"2,282","1,534","3,816"
16,"2,332","1,578","3,910"
17,"2,380","1,624","4,004"
18,"2,430","1,668","4,098"
19,"2,480","1,714","4,194"
20,"2,530","1,760","4,290"
21,"2,662","1,854","4,516"
22,"2,794","1,950","4,744"
23,"2,926","2,046","4,972"
24,"3,058","2,142","5,200"
25,"3,190","2,238","5,428"
26,"3,322","2,334","5,656"
27,"3,454","2,428","5,882"
28,"3,586","2,524","6,110"
29,"3,718","2,620","6,338"
30,"3,850","2,716","6,566"
31,"3,982","2,812","6,794"
32,"4,114","2,908","7,022"
33,"4,246","3,004","7,250"
34,"4,378","3,098","7,476"
35,"4,510","3,194","7,704"
36,"4,642","3,290","7,932"
37,"4,774","3,386","8,160"
38,"4,906","3,482","8,388"
39,"5,038","3,578","8,616"
40,"5,170","3,674","8,844"
41,"5,400","3,768","9,168"
42,"5,632","3,864","9,496"
43,"5,862","3,960","9,822"
44,"6,094","4,056","10,150"
45,"6,324","4,152","10,476"
46,"6,556","4,248","10,804"
47,"6,786","4,342","11,128"
48,"7,018","4,438","11,456"
49,"7,248","4,534","11,782"
50,"7,480","4,630","12,110"
51,"7,710","4,726","12,436"
52,"7,942","4,822","12,764"
53,"8,172","4,918","13,090"
54,"8,404","5,012","13,416"
55,"8,634","5,108","13,742"
56,"8,866","5,204","14,070"
57,"9,096","5,300","14,396"
58,"9,328","5,396","14,724"
59,"9,558","5,492","15,050"
60,"9,790","5,588","15,378"
61,"10,092","5,728","15,820"
62,"10,394","5,868","16,262"
63,"10,696","6,010","16,706"
64,"11,000","6,150","17,150"
65,"11,302","6,292","17,594"
66,"11,604","6,432","18,036"
67,"11,906","6,572","18,478"
68,"12,210","6,714","18,924"
69,"12,512","6,854","19,366"
